"filename", "language", "Markdown", "HTML", "JavaScript", "JavaScript JSX", "JSON", "SCSS", "comment", "blank", "total"
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\.eslintrc.cjs", "JavaScript", 0, 0, 30, 0, 0, 0, 0, 1, 31
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\README.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\index.html", "HTML", 0, 14, 0, 0, 0, 0, 0, 4, 18
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\package-lock.json", "JSON", 0, 0, 0, 0, 8931, 0, 0, 1, 8932
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\package.json", "JSON", 0, 0, 0, 0, 60, 0, 0, 1, 61
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\public\mockServiceWorker.js", "JavaScript", 0, 0, 208, 0, 0, 0, 43, 53, 304
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\login\login.jsx", "JavaScript JSX", 0, 0, 0, 30, 0, 0, 1, 7, 38
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\login\login.scss", "SCSS", 0, 0, 0, 0, 0, 24, 0, 1, 25
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\login\phone.login.jsx", "JavaScript JSX", 0, 0, 0, 65, 0, 0, 0, 8, 73
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\login\phone.login.scss", "SCSS", 0, 0, 0, 0, 0, 13, 0, 1, 14
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\login\qr.login.jsx", "JavaScript JSX", 0, 0, 0, 73, 0, 0, 6, 3, 82
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\login\qr.login.scss", "SCSS", 0, 0, 0, 0, 0, 13, 0, 1, 14
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\addFriend.modal.jsx", "JavaScript JSX", 0, 0, 0, 86, 0, 0, 4, 12, 102
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\addFriend.modal.scss", "SCSS", 0, 0, 0, 0, 0, 8, 0, 1, 9
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\forgotPassword.modal.jsx", "JavaScript JSX", 0, 0, 0, 73, 0, 0, 0, 14, 87
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\inforUser.modal.jsx", "JavaScript JSX", 0, 0, 0, 209, 0, 0, 1, 19, 229
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\inforUser.modal.scss", "SCSS", 0, 0, 0, 0, 0, 151, 0, 7, 158
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\navigator\sidebar.jsx", "JavaScript JSX", 0, 0, 0, 144, 0, 0, 1, 17, 162
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\navigator\sidebar.scss", "SCSS", 0, 0, 0, 0, 0, 41, 0, 4, 45
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\navigator\wrapperItem.sidebar.jsx", "JavaScript JSX", 0, 0, 0, 11, 0, 0, 0, 2, 13
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\navigator\wrapperItem.sidebar.scss", "SCSS", 0, 0, 0, 0, 0, 19, 0, 1, 20
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\resetPassword.component.jsx", "JavaScript JSX", 0, 0, 0, 135, 0, 0, 0, 15, 150
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\resetPassword.component.scss", "SCSS", 0, 0, 0, 0, 0, 15, 0, 1, 16
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\route\privateRoute.jsx", "JavaScript JSX", 0, 0, 0, 10, 0, 0, 0, 1, 11
