"filename", "language", "JSON", "JavaScript JSX", "JavaScript", "SCSS", "CSS", "HTML", "comment", "blank", "total"
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\.eslintrc.cjs", "JavaScript", 0, 0, 1, 0, 0, 0, 0, 0, 1
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\index.html", "HTML", 0, 0, 0, 0, 0, -1, 0, 0, -1
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\package-lock.json", "JSON", 86, 0, 0, 0, 0, 0, 0, 0, 86
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\package.json", "JSON", 5, 0, 0, 0, 0, 0, 0, 0, 5
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\customize\tym.css", "CSS", 0, 0, 0, 0, 62, 0, 0, 7, 69
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\customize\tym.jsx", "JavaScript JSX", 0, 71, 0, 0, 0, 0, 0, 2, 73
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\login\qr.login.jsx", "JavaScript JSX", 0, -6, 0, 0, 0, 0, 0, 0, -6
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\changeBackground.modal.jsx", "JavaScript JSX", 0, 57, 0, 0, 0, 0, 0, 14, 71
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\changeBackground.modal.scss", "SCSS", 0, 0, 0, 30, 0, 0, 1, 1, 32
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\infoGroup.modal.jsx", "JavaScript JSX", 0, 38, 0, 0, 0, 0, 0, 7, 45
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\infoGroup.modal.scss", "SCSS", 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\inforUser.modal.jsx", "JavaScript JSX", 0, 7, 0, 0, 0, 0, 0, 0, 7
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\navigator\sidebar.jsx", "JavaScript JSX", 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\popover\sticky.popover.jsx", "JavaScript JSX", 0, 48, 0, 0, 0, 0, 0, 7, 55
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\user\chat.user.jsx", "JavaScript JSX", 0, 54, 0, 0, 0, 0, 0, 6, 60
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\user\chat.user.scss", "SCSS", 0, 0, 0, 16, 0, 0, 0, 1, 17
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\user\status.user.jsx", "JavaScript JSX", 0, 73, 0, 0, 0, 0, 1, 3, 77
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\user\status.user.scss", "SCSS", 0, 0, 0, 54, 0, 0, 1, 2, 57
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\verify.component.jsx", "JavaScript JSX", 0, 2, 0, 0, 0, 0, 0, 0, 2
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\verify.component.scss", "SCSS", 0, 0, 0, 59, 0, 0, 4, 11, 74
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\layouts\homeLayout.jsx", "JavaScript JSX", 0, -7, 0, 0, 0, 0, 0, -3, -10
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\layouts\homeSubLayout.jsx", "JavaScript JSX", 0, 18, 0, 0, 0, 0, 0, -1, 17
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\layouts\homeSubLayout.scss", "SCSS", 0, 0, 0, -6, 0, 0, 0, 0, -6
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\main.jsx", "JavaScript JSX", 0, 1, 0, 0, 0, 0, 0, 1, 2
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\error.page.jsx", "JavaScript JSX", 0, 5, 0, 0, 0, 0, -5, 0, 0
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\chat\chat.main.jsx", "JavaScript JSX", 0, 423, 0, 0, 0, 0, 17, 45, 485
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\chat\chat.main.scss", "SCSS", 0, 0, 0, 292, 0, 0, 3, 6, 301
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\chat\emoijPopup.chat.jsx", "JavaScript JSX", 0, 46, 0, 0, 0, 0, 0, 6, 52
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\chat\emoijPopup.chat.scss", "SCSS", 0, 0, 0, 17, 0, 0, 2, 1, 20
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\chat\message.chat.jsx", "JavaScript JSX", 0, 122, 0, 0, 0, 0, 1, 12, 135
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\chat\message.chat.scss", "SCSS", 0, 0, 0, 116, 0, 0, 0, 5, 121
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\content.main.jsx", "JavaScript JSX", 0, 14, 0, 0, 0, 0, 0, 0, 14
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\main\friend\listFriends.friends.jsx", "JavaScript JSX", 0, 2, 0, 0, 0, 0, 0, 0, 2
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\notFound.page.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\sidebar\chat.sidebar.jsx", "JavaScript JSX", 0, 58, 0, 0, 0, 0, 0, 6, 64
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\sidebar\friend.sidebar.jsx", "JavaScript JSX", 0, 17, 0, 0, 0, 0, 0, 4, 21
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\sidebar\home.message.search.scss", "SCSS", 0, 0, 0, 4, 0, 0, 0, 1, 5
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\sidebar\home.sidebar.jsx", "JavaScript JSX", 0, 2, 0, 0, 0, 0, 0, 1, 3
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\test.page.css", "CSS", 0, 0, 0, 0, 62, 0, 0, 8, 70
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\pages\test.page.jsx", "JavaScript JSX", 0, 73, 0, 0, 0, 0, 0, 6, 79
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\redux\actions\user.action.js", "JavaScript", 0, 0, 7, 0, 0, 0, 0, 0, 7
