"filename", "language", "JSON", "Markdown", "JavaScript JSX", "JavaScript", "SCSS", "CSS", "HTML", "comment", "blank", "total"
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\.eslintrc.cjs", "JavaScript", 0, 0, 0, 31, 0, 0, 0, 0, 1, 32
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 1, 2
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\index.html", "HTML", 0, 0, 0, 0, 0, 0, 13, 0, 4, 17
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\package-lock.json", "JSON", 9017, 0, 0, 0, 0, 0, 0, 0, 1, 9018
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\package.json", "JSON", 65, 0, 0, 0, 0, 0, 0, 0, 1, 66
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\public\mockServiceWorker.js", "JavaScript", 0, 0, 0, 208, 0, 0, 0, 43, 53, 304
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\customize\tym.css", "CSS", 0, 0, 0, 0, 0, 62, 0, 0, 7, 69
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\customize\tym.jsx", "JavaScript JSX", 0, 0, 71, 0, 0, 0, 0, 0, 2, 73
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\login\login.jsx", "JavaScript JSX", 0, 0, 30, 0, 0, 0, 0, 1, 7, 38
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\login\login.scss", "SCSS", 0, 0, 0, 0, 24, 0, 0, 0, 1, 25
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\login\phone.login.jsx", "JavaScript JSX", 0, 0, 65, 0, 0, 0, 0, 0, 8, 73
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\login\phone.login.scss", "SCSS", 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
