"filename", "language", "SCSS", "JavaScript JSX", "CSS", "JavaScript", "JSON", "comment", "blank", "total"
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\customize\tym.css", "CSS", 0, 0, 60, 0, 0, 0, 6, 66
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\customize\tym.jsx", "JavaScript JSX", 0, 71, 0, 0, 0, 0, 2, 73
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\login\login.jsx", "JavaScript JSX", 0, 30, 0, 0, 0, 1, 7, 38
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\login\login.scss", "SCSS", 24, 0, 0, 0, 0, 0, 1, 25
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\login\phone.login.jsx", "JavaScript JSX", 0, 65, 0, 0, 0, 0, 8, 73
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\login\phone.login.scss", "SCSS", 13, 0, 0, 0, 0, 0, 1, 14
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\login\qr.login.jsx", "JavaScript JSX", 0, 67, 0, 0, 0, 6, 3, 76
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\login\qr.login.scss", "SCSS", 13, 0, 0, 0, 0, 0, 1, 14
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\addFriend.modal.jsx", "JavaScript JSX", 0, 86, 0, 0, 0, 4, 11, 101
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\addFriend.modal.scss", "SCSS", 8, 0, 0, 0, 0, 0, 1, 9
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\changeBackground.modal.jsx", "JavaScript JSX", 0, 81, 0, 0, 0, 1, 15, 97
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\changeBackground.modal.scss", "SCSS", 47, 0, 0, 0, 0, 1, 1, 49
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\chooseImage.modal.jsx", "JavaScript JSX", 0, 82, 0, 0, 0, 0, 12, 94
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\chooseImage.modal.scss", "SCSS", 41, 0, 0, 0, 0, 0, 2, 43
"d:\CongNgheMoi\Zalo_ReactJS_Frontend\src\components\modal\forgotPassword.modal.jsx", "JavaScript JSX", 0, 73, 0, 0, 0, 0, 14, 87
